id,name,price,in_stock,link
,,,,
4451025,Tortoiseshell  Aviator Glasses,39.95,true,/p/mens-acetate-aviator-eyeglass-frames/44510?skuId=4451025
195418,Red Browline Glasses,15.95,true,/p/browline-eyeglass-frames/1954?skuId=195418
101235,Tortoiseshell Round Glasses,25.95,true,/p/round-tortoiseshell-eyeglass-frames/1012?skuId=101235
2020116,Navy Ombre Square Glasses,15.95,true,/p/tr-square-eyeglass-frames/20201?skuId=2020116
171412,Steel Aviator Glasses,39.95,true,/p/mens-halfrim-memory-titanium-aviator-eyeglass-frames/1714?skuId=171412
393014,Gold Rimless Glasses,25.95,true,/p/rimless-metal-alloy-frame-with-designer-acetate-temples/3930?skuId=393014
2018918,Red Rectangle Glasses,6.95,true,/p/tr-rectangle-eyeglass-frames/20189?skuId=2018918
7816823,Clear Square Glasses,19.95,true,/p/square-eyeglass-frames/78168?skuId=7816823
419014,Gold Aviator Glasses,6.95,true,/p/metal-alloy-full-rim-frame-with-spring-hinges/4190?skuId=419014
7801821,Black Round Glasses,19.95,true,/p/round-eyeglass-frames/78018?skuId=7801821
3223621,Black Aviator Glasses,29.95,true,/p/stainless-steel-aviator-eyeglass-frames/32236?skuId=3223621
127921,Black Pattern Square Glasses,9.95,true,/p/tr-square-eyeglass-frames/1279?skuId=127921
138629,Iridescent Rimless Glasses,45.95,true,/p/rimless-titanium-eyeglass-frames/1386?skuId=138629
3217321,Black Rectangle Glasses,15.95,true,/p/mens-halfrim-stainless-steel-rectangle-eyeglass-frames/32173?skuId=3217321
1116325,Tortoiseshell Premium Square Sunglasses,29.95,true,/p/plastic-square-eyeglass-frames/11163?skuId=1116325
126225,Tortoiseshell Square Glasses,6.95,true,/p/plastic-square-eyeglass-frames/1262?skuId=126225
2023821,Black Round Glasses,15.95,true,/p/tr-round-eyeglass-frames/20238?skuId=2023821
137021,Black Titanium Rectangle Glasses,45.95,true,/p/mens-titanium-rectangle-eyeglass-frames/1370?skuId=137021
1116116,Blue Premium Square Sunglasses,29.95,true,/p/tr-square-eyeglass-frames/11161?skuId=1116116
1119715,Brown Premium Aviator Sunglasses,35.95,true,/p/tr-aviator-eyeglass-frames/11197?skuId=1119715
127425,Tortoiseshell Round Glasses,15.95,true,/p/plastic-round-eyeglass-frames/1274?skuId=127425
1116921,Black Premium Rectangle Sunglasses,35.95,true,/p/mens-plastic-rectangle-sunglass-frames/11169?skuId=1116921
99101023,Translucent Paris Legion  ,33.95,true,/p/paris-legion-eyeglasses/991010?skuId=99101023
1910223,Clear Browline Glasses,19.95,true,/p/browline-eyeglass-frames/19102?skuId=1910223
158314,Gold Unwind,29.95,true,/p/unwind-eyeglasses/1583?skuId=158314
1116721,Black Premium Rectangle Sunglasses,32.95,true,/p/plastic-rectangle-sunglass-frames/11167?skuId=1116721
2032816,Slate Round Glasses,9.95,true,/p/tr-round-eyeglass-frames/20328?skuId=2032816
2036716,Navy Rectangle Glasses,39.95,true,/p/mens-tr-rectangle-eyeglass-frames/20367?skuId=2036716
162521,Black Rectangle Glasses,19.95,true,/p/mens-half-rim-stainless-steel-rectangle-eyeglass-frames/1625?skuId=162521
7830416,Blue Rectangle Glasses,25.95,true,/p/mens-rectangle-eyeglass-frames/78304?skuId=7830416
7818225,Tortoiseshell Square Glasses,29.95,true,/p/square-eyeglass-frames/78182?skuId=7818225
4437212,Gray Square Glasses,29.95,true,/p/mens-acetate-square-eyeglass-frames/44372?skuId=4437212
523312,Gray Titanium Rectangle Glasses,45.95,true,/p/pure-titanium-half-rim-frame/5233?skuId=523312
131711,Silver Titanium Rectangle Glasses,45.95,true,/p/mens-full-rim-titanium-rectangle-eyeglass-frames/1317?skuId=131711
6499321,Black Rectangle Magnetic Snap-On Set,35.95,true,/p/eyeglass-magnetic-snapon-sunshades/64993?skuId=6499321
